elapsed,opt_dens1,opt_dens2,opt_dens3,opt_dens4,opt_dens5,opt_dens6,opt_dens7,opt_dens8,led_ref1,led_ref2,led_ref3,led_ref4,int_temp1,int_temp2,int_temp3,int_temp4,int_press1,int_press2,int_press3,int_press4,int_humid1,int_humid2,int_humid3,int_humid4,ext_temp1,ext_temp2,ext_temp3,ext_temp4,atm_temp,atm_press
0.0,4.16725108720531,4.052405584802014,3.7406820782787826,4.035999084458687,0.049219501029983986,0.4265690089265278,0.06562600137331197,0.049219501029983986,0.12612500000000001,1.993625,1.857875,0.32125,23.758203125,23.5568359375,24.1771484375,26.4998046875,1027.5676825460512,1028.4023092254997,1028.467375476861,1032.0185011520307,81.27729995527228,99.63532677099725,86.87323862283905,68.45560983541986,23.937,24.062,85.0,24.0,23.9998046875,1027.276709209568
30.001,4.019592584115358,4.052405584802014,3.8719340810254064,4.035999084458687,0.049219501029983986,0.4101625085831998,0.06562600137331197,0.049219501029983986,0.12512500000000001,1.82275,1.822875,0.23675000000000002,23.7275390625,23.5771484375,24.1669921875,26.5658203125,1027.5808185927317,1028.250798228427,1028.2974886567704,1029.004832239563,86.25695049316627,100,90.93015469935368,74.51818146405643,23.937,24.062,85.0,24.0,23.974609375,1027.2498778738434
60.002,4.035999084458687,4.068812085145343,3.8063080796520947,4.035999084458687,0.049219501029983986,0.4101625085831998,0.06562600137331197,0.049219501029983986,0.12512500000000001,1.973875,1.89525,0.257625,23.6763671875,23.582421875,24.1771484375,26.5658203125,1027.596765812426,1028.1678344185484,1028.3290106192974,1028.2788812566482,90.06224458125263,100,93.04250227137423,77.4357281429991,23.937,24.062,85.0,23.937,23.959375,1027.252045250461
90.003,4.019592584115358,4.052405584802014,3.7242755779354546,4.035999084458687,0.049219501029983986,0.4265690089265278,0.06562600137331197,0.049219501029983986,0.12525,2.003375,1.85125,0.3375,23.655859375,23.5669921875,24.1669921875,26.5455078125,1027.6113380253964,1028.2230713711801,1028.2971612313443,1028.1386497595947,92.52334610789345,100,94.45746931089504,79.09013252694479,23.937,24.062,85.0,24.0,23.944140625,1027.3020666035686
120.004,4.019592584115358,4.052405584802014,3.8391210803387508,4.035999084458687,0.049219501029983986,0.4265690089265278,0.06562600137331197,0.049219501029983986,0.12525,1.976,1.882125,0.25475000000000003,23.61484375,23.5771484375,24.1466796875,26.5302734375,1027.6427468081943,1028.1889527087994,1028.3455983629838,1028.1471067443445,95.02396667447394,100,95.30508285482045,80.09741434192243,23.937,24.062,85.0,23.937,23.9240234375,1027.2938809999519
150.005,4.035999084458687,4.068812085145343,3.7078690775921266,4.035999084458687,0.049219501029983986,0.4101625085831998,0.06562600137331197,0.049219501029983986,0.12512500000000001,1.985,1.86225,0.313875,23.6046875,23.5568359375,24.12109375,26.5150390625,1027.6229238463043,1028.2464159912709,1028.308770551956,1028.1374121944782,96.34603402802385,100,96.40651586626224,80.92116161082112,23.937,24.062,85.0,23.937,23.9240234375,1027.3009321644304
180.006,4.035999084458687,4.068812085145343,3.6914625772487986,4.035999084458687,0.049219501029983986,0.37734950789654387,0.06562600137331197,0.049219501029983986,0.12512500000000001,1.97825,1.9100000000000001,0.255,23.5791015625,23.5365234375,24.116015625,26.4947265625,1027.5816749626072,1028.2132574130583,1028.305280379743,1028.1345208373682,98.30401253506702,100,97.17608548990783,81.30178283257646,23.875,24.062,85.0,23.937,23.9189453125,1027.311052480887
210.008,4.035999084458687,4.052405584802014,3.9211535820553904,4.035999084458687,0.049219501029983986,0.32813000686655985,0.06562600137331197,0.049219501029983986,0.12525,1.972,1.895875,0.238875,23.55859375,23.5314453125,24.1056640625,26.4845703125,1027.634114886452,1028.2026259760744,1028.2931704316295,1028.1443526843177,98.80471587122985,100,97.81590638928192,82.04259338854982,23.937,24.0,85.0,23.937,23.9138671875,1027.3350464383093
240.009,4.035999084458687,4.068812085145343,3.7078690775921266,4.019592584115358,0.049219501029983986,0.36094300755321584,0.06562600137331197,0.049219501029983986,0.12525,1.968375,1.88525,0.248625,23.55859375,23.5263671875,24.0955078125,26.4693359375,1027.5958478788311,1028.2068620568784,1028.2712724519108,1028.0901765572862,100,100,98.41653217655582,82.22884935511378,23.937,24.0,85.0,23.937,23.9037109375,1027.3368657967656
270.011,4.035999084458687,4.052405584802014,3.8063080796520947,4.035999084458687,0.049219501029983986,0.3445365072098879,0.06562600137331197,0.049219501029983986,0.12525,1.978375,1.863,0.314875,23.5431640625,23.5162109375,24.0853515625,26.45390625,1027.550997258779,1028.2243130100426,1028.292338645312,1028.1201439716979,100,100,98.4322965006115,82.73145792336665,23.875,24.062,85.0,23.937,23.8935546875,1027.2864735682174
300.013,4.052405584802014,4.035999084458687,3.7242755779354546,4.019592584115358,0.049219501029983986,0.3937560082398719,0.06562600137331197,0.049219501029983986,0.12537500000000001,1.9885,1.8715,0.274125,23.5330078125,23.505859375,24.06484375,26.438671875,1027.5476292780818,1028.2182756854738,1028.260647248508,1028.1249795129856,100,100,99.47019167362166,82.74611100389122,23.875,24.0,85.0,23.937,23.8986328125,1027.3187674620724
330.014,4.035999084458687,4.068812085145343,3.7078690775921266,4.035999084458687,0.049219501029983986,0.3937560082398719,0.06562600137331197,0.049219501029983986,0.12537500000000001,1.996375,1.834375,0.334,23.5279296875,23.490625,24.04453125,26.438671875,1027.5379096987992,1028.208003701439,1028.2629675930016,1028.1499079353896,100,100,99.71591728628505,83.01315568066751,23.875,24.0,85.0,23.937,23.9037109375,1027.3113940344688
360.016,4.035999084458687,4.052405584802014,3.7242755779354546,4.035999084458687,0.049219501029983986,0.3937560082398719,0.06562600137331197,0.049219501029983986,0.12537500000000001,1.996375,1.848,0.32887500000000003,23.5279296875,23.485546875,24.0341796875,26.4234375,1027.5263550015272,1028.2036468673616,1028.2544981527606,1028.1299955589345,100,100,100,83.67453875299489,23.875,24.0,85.0,23.937,23.9240234375,1027.3007039617848
390.017,4.052405584802014,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.4101625085831998,0.06562600137331197,0.049219501029983986,0.12537500000000001,1.9561250000000001,1.88625,0.26875,23.517578125,23.485546875,24.0240234375,26.428515625,1027.5328578518229,1028.203285941673,1028.2634520404988,1028.0954835300884,100,100,100,83.66347597881133,23.875,24.0,85.0,23.937,23.9240234375,1027.2632921468437
420.018,4.035999084458687,4.035999084458687,3.7242755779354546,4.019592584115358,0.049219501029983986,0.37734950789654387,0.06562600137331197,0.049219501029983986,0.12537500000000001,2.004125,1.844875,0.338,23.5228515625,23.475390625,24.0341796875,26.4234375,1027.5431943572592,1028.213557968982,1028.2204883716108,1028.1613415420331,100,100,100,83.81232163794029,23.875,24.0,85.0,23.937,23.9291015625,1027.253057796861
450.019,4.035999084458687,4.068812085145343,3.8391210803387508,4.035999084458687,0.049219501029983986,0.3937560082398719,0.06562600137331197,0.049219501029983986,0.12537500000000001,1.9935,1.8467500000000001,0.32975,23.5330078125,23.4703125,24.0189453125,26.398046875,1027.5095156539273,1028.1797993906275,1028.2238056127853,1028.0793183943774,100,100,100,84.08030400860547,23.875,24.0,85.0,23.937,23.9341796875,1027.2275865726897
480.02,4.035999084458687,4.068812085145343,3.6914625772487986,4.035999084458687,0.049219501029983986,0.4101625085831998,0.06562600137331197,0.049219501029983986,0.12525,1.97725,1.864125,0.3045,23.5279296875,23.46015625,24.0189453125,26.387890625,1027.4926763144592,1028.1823809836822,1028.2690879318948,1028.0926479423113,100,100,100,84.07377027792145,23.875,24.0,85.0,23.937,23.9291015625,1027.232703702696
510.021,4.035999084458687,4.052405584802014,3.7078690775921266,4.035999084458687,0.049219501029983986,0.4101625085831998,0.06562600137331197,0.049219501029983986,0.12537500000000001,1.963625,1.8960000000000001,0.236875,23.5279296875,23.455078125,24.0087890625,26.3828125,1027.4724691178317,1028.1665848129646,1028.2193288855897,1028.0876329571736,100,100,100,84.25123402642443,23.875,24.0,85.0,23.937,23.9037109375,1027.273640765973
540.022,4.035999084458687,4.052405584802014,3.7078690775921266,4.035999084458687,0.049219501029983986,0.4265690089265278,0.06562600137331197,0.049219501029983986,0.12537500000000001,1.982,1.88125,0.255375,23.5228515625,23.455078125,24.003515625,26.3828125,1027.4840233687835,1028.1506359435907,1028.2307617577399,1028.0744355105896,100,100,100,84.26681592284791,23.875,24.0,85.0,23.937,23.8986328125,1027.2182478729158
570.024,4.035999084458687,4.035999084458687,3.7406820782787826,4.035999084458687,0.049219501029983986,0.4265690089265278,0.06562600137331197,0.049219501029983986,0.12537500000000001,2.0005,1.8587500000000001,0.312875,23.5330078125,23.455078125,24.003515625,26.3625,1027.5174691903248,1028.1651408255584,1028.2397139652476,1028.0929105935752,100,100,100,84.42616379809442,23.875,24.0,85.0,23.937,23.888671875,1027.2675977246229
