time,t(s),T_{env},P_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
1740047382.371658,0.0,21.870703125,1012.4102172709894,21.687,30.687,26.687,26.875,21.648828125,21.55078125,21.39921875,21.830859375,1011.8171660849658,1012.0243922729768,1011.3324760248793,1011.2946404643423,45.19342391074521,41.51424030084139,44.118035029065425,41.42475093364296,0.43075,1.853625,1.8006250000000001,0.603875,3.7406820782787826,3.5109910734721907,3.1172350652323186,4.167251087205311,0.06562600137331197,0.04921950102998398,0.06562600137331197,0.4593820096131838
1740047414.3997793,32.028,21.8251953125,1012.4292408948847,21.687,30.75,26.625,26.875,21.6693359375,21.586328125,21.4248046875,21.881640625,1011.8373914907471,1011.9909031874581,1011.3923530832498,1011.3166445913297,44.99298135236785,41.39647154992346,43.75867219671113,41.45826626055191,0.3025,1.961,1.691,0.6885,3.8227145799954223,3.5930235751888304,3.1828610666056307,4.183657587548638,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.4921950102998398
1740047445.2551775,62.884,21.7947265625,1012.5002356454072,21.75,30.875,26.625,26.875,21.7154296875,21.6015625,21.4349609375,21.9171875,1011.8774379846045,1012.034004226805,1011.4273809838255,1011.3783555807161,44.82578746095395,41.46398104312587,43.66486797281415,41.059306006823064,0.42575,1.863875,1.796875,0.6118750000000001,3.6750560769054705,3.3141130693522545,3.1664545662623027,4.052405584802014,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.4265690089265278
1740047476.0843983,93.713,21.76953125,1012.4911108686941,21.75,30.875,26.625,26.875,21.72578125,21.6220703125,21.470703125,21.9427734375,1011.921069870568,1012.0564838810204,1011.4736340251266,1011.4646280676476,44.474321625818355,41.239424344507306,43.68164965846517,41.164835711658576,0.4285,1.854,1.80525,0.613125,3.7570885786221107,3.5602105745021744,3.1992675669489588,4.118031586175326,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.4757885099565118
1740047506.8934789,124.522,21.754296875,1012.4714701966054,21.75,30.75,26.75,26.875,21.7359375,21.6525390625,21.4859375,21.9681640625,1011.906370646898,1012.0361570859167,1011.4657315110514,1011.3807016494121,44.4632199169436,41.05975096115638,43.65979805385194,41.25365158000223,0.37325,1.91475,1.778875,0.6255000000000001,3.9375600823987185,3.346926070038911,2.953170061799039,4.183657587548638,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.5086015106431678
1740047537.7430983,155.371,21.754296875,1012.4529664361535,21.75,30.75,26.687,26.875,21.7615234375,21.6728515625,21.5013671875,21.9935546875,1011.925550109378,1012.0320234096085,1011.4425482575465,1011.3997290913104,44.46911893746101,41.14971533747039,43.56037799477944,40.89881115795823,0.319125,1.93875,1.7377500000000001,0.65125,3.8555275806820783,3.3141130693522545,2.985983062485695,4.134438086518655,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.4921950102998398
1740047568.6056411,186.234,21.744140625,1012.4848765005535,21.75,30.687,26.625,26.875,21.7716796875,21.6830078125,21.5064453125,22.0087890625,1011.9386520600699,1012.0567417475264,1011.497474723403,1011.394503015224,44.1677606691399,41.21158965306559,43.726518463661534,41.19293318109943,0.378875,1.90425,1.78025,0.623375,3.8883405813687344,3.4125520714122226,3.1992675669489588,4.183657587548638,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.5086015106431678
1740047599.452569,217.081,21.774609375,1012.4794037546905,21.75,30.75,26.625,26.875,21.7921875,21.703515625,21.53203125,22.0240234375,1011.9027641876612,1012.0792181485131,1011.4995429601088,1011.3926559825111,44.491833282545855,40.896982042486755,43.394507720177764,41.03765719465918,0.429,1.86,1.802375,0.613125,3.6422430762188145,3.3797390707255666,3.084422064545663,4.150844586861982,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.5086015106431678
1740047630.264402,247.893,21.8048828125,1012.5079795080247,21.75,30.75,26.687,26.937,21.8126953125,21.723828125,21.557421875,22.0494140625,1011.9226520693455,1012.0320027066389,1011.4747044846034,1011.4055436615288,44.469874341060844,41.08252874196569,43.571963023303,40.9490359889812,0.30175,1.9561250000000001,1.7095,0.6735,3.8883405813687344,3.5766170748455024,3.1500480659189747,4.052405584802014,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.4757885099565118
1740047661.0818412,278.71,21.8201171875,1012.5397026639214,21.75,30.812,26.812,27.25,21.83828125,21.733984375,21.5677734375,22.059765625,1011.9874736891666,1012.0967544693755,1011.5440780592867,1011.4822042291122,44.17976501555189,41.38601861555857,43.660664965518066,40.599632156280755,0.34675,1.921875,1.748,0.645625,3.9047470817120624,3.5109910734721907,2.953170061799039,4.183657587548638,0.04921950102998398,0.04921950102998398,0.06562600137331197,0.4265690089265278
